DateTime,AddedIPs,RemovedIPs
1580117521,20,47
1580118121,26,0
1580119321,35,62
1580120521,28,46
1580121721,26,45
1580122321,27,22
1580123521,43,63
1580124122,9,0
1580124722,25,10
1580125321,22,38
1580125921,31,21
1580126521,35,19
1580127122,36,0
1580128321,29,26
1580128921,20,30
1580129521,11,29
1580130121,16,0
1580131321,17,78
1580131921,24,43
1580133721,23,0
1580134322,31,24
1580135521,15,25
1580136121,25,36
1580136721,20,0
1580137321,31,27
1580137921,29,23
1580139121,20,0
1580139722,24,29
1580140921,9,32
1580142121,25,52
1580143321,30,14
1580144522,29,25
1580145121,29,0
1580145721,13,61
1580147521,26,26
1580148722,26,61
1580149321,40,0
1580150521,34,31
1580151721,13,16
1580152921,24,55
1580153521,29,0
1580154122,30,34
1580155321,24,31
1580156521,21,56
1580157721,45,23
1580158321,15,0
1580158922,37,0
1580160121,25,60
1580160722,22,47
1580161322,24,28
1580161921,29,11
1580162521,12,16
1580163121,28,0
1580163721,26,31
1580164922,12,0
1580166121,20,27
1580167321,32,23
1580167921,34,44
1580168522,32,66
1580169722,18,0
1580170921,28,34
1580172121,18,33
1580172721,22,50
1580174521,22,25
1580175721,30,34
1580176321,14,37
1580177521,29,29
1580178121,35,26
1580179321,34,21
1580180521,29,0
1580181121,37,26
1580181721,26,0
1580182921,41,53
1580183521,20,28
1580185322,28,25
1580186521,26,32
1580187121,30,102
1580188921,18,0
1580189521,27,24
1580190121,24,0
1580191321,32,30
1580192521,17,31
1580193721,31,60
1580194321,13,26
1580194922,28,21
1580196121,29,0
1580196722,27,39
1580197321,21,6
1580198521,13,10
1580199721,8,22
1580200921,38,62
1580202121,20,0
1580203321,10,24
1580203921,24,85
1580204521,38,0
1580205721,21,0
1580206322,21,34
1580206921,35,0
1580207521,33,22
1580208121,28,33
1580209321,33,11
1580209921,16,60
1580211122,24,27
1580212322,37,32
1580212921,19,0
1580213521,26,28
1580214121,36,26
1580215322,26,54
1580216522,23,25
1580217121,31,41
1580217722,29,25
1580218922,23,0
1580219522,28,21
1580220121,30,11
1580221321,27,27
1580221921,24,0
1580222522,31,20
1580223121,41,56
1580223721,28,28
1580225522,29,32
1580226121,33,34
1580227322,20,0
1580228521,21,48
1580229721,33,0
1580230322,26,28
1580231521,28,57
1580232121,24,0
1580233322,33,18
1580233921,25,0
1580234521,15,24
1580235121,25,20
1580236322,15,35
1580237521,21,21
1580238121,26,45
1580238721,17,0
1580239922,31,30
1580240521,30,23
1580241721,26,26
1580242321,19,23
1580242921,26,22
1580244121,30,0
1580244721,32,46
1580245321,18,19
1580245921,33,35
1580246521,25,17
1580247721,32,0
1580248321,24,62
1580249521,31,0
1580250121,21,38
