DateTime,Entries,UniqueIPs
1580107321,8632,9135
1580108521,8625,9126
1580109121,8617,9117
1580110321,8608,9107
1580110921,8609,9108
1580111521,8597,9095
1580112722,8594,9087
1580113321,8594,9087
1580114522,8597,9090
1580115721,8587,9078
1580116321,8591,9082
1580117521,8577,9066
1580118121,8574,9063
1580119321,8572,9061
1580120521,8573,9062
1580121721,8575,9064
1580122321,8540,9028
1580123521,8548,9036
1580124122,8546,9036
1580124722,8546,9036
1580125321,8546,9037
1580125921,8542,9032
1580126521,8542,9032
1580127122,8547,9038
1580128321,8545,9035
1580128921,8547,9037
1580129521,8525,9014
1580130121,8526,9015
1580131321,8511,8998
1580131921,8515,9002
1580133721,8521,9008
1580134322,8517,9005
1580135521,8510,8998
1580136121,8506,8994
1580136721,8508,8996
1580137321,8506,8994
1580137921,8503,8990
1580139121,8508,8996
1580139722,8505,8993
1580140921,8502,8990
1580142121,8498,8987
1580143321,8499,8987
1580145121,8498,8986
1580145721,8491,8976
1580147521,8496,8981
1580148722,8484,8968
1580149321,8489,8977
1580150521,8485,8975
1580151721,8487,8977
1580152921,8484,8974
1580153521,8483,8973
1580154122,8485,8975
1580155321,8472,8962
1580156521,8469,8959
1580157721,8468,8958
1580158321,8469,8959
1580158922,8470,8959
1580160121,8476,8963
1580160722,8476,8962
1580161322,8473,8960
1580161921,8473,8961
1580162521,8463,8951
1580163121,8465,8953
1580163721,8461,8949
1580164922,8461,8950
1580166121,8455,8944
1580167321,8458,8948
1580167921,8468,8962
1580169722,8458,8951
1580170921,8460,8954
1580172121,8449,8941
1580172721,8439,8930
1580174521,8442,8933
1580175721,8443,8934
1580176321,8437,8927
1580177521,8436,8925
1580178121,8439,8930
1580179321,8441,8932
1580180521,8445,8933
1580181121,8440,8928
1580181721,8444,8932
1580182921,8447,8935
1580183521,8448,8936
1580185322,8457,8944
1580186521,8452,8940
1580187121,8438,8927
1580188921,8436,8923
1580189521,8435,8922
1580190121,8445,8932
1580191321,8438,8924
1580192521,8441,8930
1580193721,8435,8924
1580194321,8426,8915
1580194922,8431,8920
1580196121,8433,8922
1580196722,8438,8927
1580197321,8437,8927
1580198521,8434,8924
1580199721,8432,8921
1580200921,8425,8914
1580202121,8425,8915
1580203321,8427,8919
1580203921,8425,8918
1580204521,8428,8921
1580205721,8430,8923
1580206322,8427,8920
1580206921,8432,8925
1580208121,8429,8921
1580209321,8434,8929
1580209921,8433,8926
1580211122,8438,8931
1580212322,8437,8931
1580212921,8444,8938
1580213521,8444,8938
1580214121,8449,8944
1580215322,8452,8947
1580216522,8446,8941
1580217121,8448,8942
1580217722,8451,8945
1580218922,8453,8947
1580219522,8456,8950
1580220121,8454,8949
1580221321,8450,8944
1580222522,8451,8945
1580223121,8446,8940
1580223721,8449,8943
1580225522,8451,8945
1580226121,8465,8959
1580227322,8467,8959
1580228521,8468,8960
1580229721,8458,8950
1580230322,8453,8944
1580231521,8454,8945
1580232121,8455,8946
1580233322,8453,8945
1580233921,8459,8951
1580234521,8461,8954
1580235121,8456,8948
1580236322,8460,8952
1580237521,8454,8944
1580238121,8453,8943
1580238721,8452,8942
1580239922,8454,8944
1580240521,8450,8939
1580241721,8444,8933
1580242321,8450,8939
1580242921,8454,8943
1580244121,8456,8945
1580244721,8459,8947
1580245321,8459,8947
1580245921,8459,8947
1580246521,8463,8951
1580247721,8462,8950
1580248321,8462,8949
1580249521,8464,8951
1580250121,8466,8953
1580251321,8467,8957
1580251921,8463,8953
1580252521,8457,8946
1580253721,8459,8949
1580254921,8435,8923
1580255521,8438,8926
1580256121,8439,8927
1580257321,8433,8922
1580258521,8415,8904
1580259721,8419,8908
1580260321,8416,8905
1580260921,8410,8899
1580262121,8415,8906
1580262721,8411,8901
1580263921,8417,8907
1580264521,8421,8912
1580265721,8424,8915
1580266921,8419,8910
1580267521,8421,8912
1580268121,8424,8916
1580268721,8421,8913
1580270522,8422,8914
1580271122,8421,8910
1580272321,8424,8915
1580272922,8417,8908
1580273521,8418,8909
1580274122,8418,8909
1580274722,8420,8912
1580275921,8422,8914
1580276522,8424,8916
1580277121,8429,8921
1580277721,8432,8924
1580278921,8432,8924
1580280121,8426,8916
1580280721,8427,8917
1580281322,8424,8914
1580281921,8432,8922
1580282522,8432,8922
1580283722,8432,8922
1580284921,8423,8912
1580285521,8424,8913
1580286721,8417,8908
1580287322,8419,8910
1580288521,8423,8912
1580289721,8426,8915
1580290321,8425,8914
1580291521,8423,8911
1580292121,8418,8905
1580293922,8410,8897
1580295121,8377,8864
1580296321,8374,8860
1580297522,8385,8871
1580298721,8388,8874
1580299321,8390,8876
1580300521,8393,8880
1580301121,8394,8883
1580302321,8396,8885
1580302921,8397,8886
1580304122,8398,8887
1580304721,8399,8888
1580305321,8395,8883
1580306521,8395,8885
1580308321,8400,8890
1580308922,8396,8886
1580309521,8393,8882
1580310721,8397,8886
1580311321,8389,8881
1580311921,8391,8883
1580312522,8394,8886
1580313721,8397,8890
1580314921,8400,8893
1580315522,8402,8895
1580316121,8398,8891
1580317321,8397,8890
1580318522,8398,8891
1580319721,8397,8892
1580320321,8397,8892
1580321521,8400,8895
1580322121,8401,8896
1580323322,8396,8891
1580323921,8389,8884
1580325121,8387,8882
1580325721,8389,8884
1580326321,8390,8888
1580326921,8393,8891
1580327521,8391,8889
1580328721,8389,8887
1580329322,8387,8885
1580330521,8391,8886
1580331721,8392,8887
1580332922,8394,8889
1580333522,8393,8888
1580334121,8395,8890
1580335321,8391,8886
1580336521,8388,8884
1580337121,8387,8883
1580337721,8388,8884
1580338921,8389,8879
1580339521,8369,8858
1580340121,8370,8857
1580340721,8372,8859
1580341921,8372,8860
1580342521,8369,8857
1580343721,8381,8869
1580344321,8384,8872
1580344921,8384,8871
1580346121,8383,8870
1580346721,8390,8876
1580347322,8388,8874
1580347922,8382,8869
1580348522,8387,8874
1580349121,8387,8874
1580350321,8389,8876
1580350921,8395,8885
1580352121,8379,8869
1580353321,8385,8875
1580354521,8388,8881
1580355122,8389,8883
1580355721,8375,8869
1580356921,8380,8874
1580357521,8381,8875
1580358721,8380,8872
1580359321,8384,8876
1580359922,8393,8885
1580361121,8397,8889
1580362321,8397,8889
1580362922,8402,8894
1580364122,8403,8893
1580364721,8398,8886
1580365321,8400,8888
1580366521,8408,8896
1580367721,8399,8889
1580368321,8393,8883
1580368921,8403,8893
1580369522,8405,8895
1580370121,8404,8895
1580371321,8405,8895
1580371921,8405,8895
1580372521,8415,8905
1580373122,8414,8903
1580374321,8419,8908
1580375521,8423,8918
1580377322,8414,8909
1580377922,8416,8911
1580378521,8419,8915
1580379721,8417,8914
1580380921,8415,8912
1580381521,8398,8892
1580382121,8403,8897
1580383922,8405,8899
1580385121,8408,8902
1580385721,8406,8900
1580386321,8408,8902
1580386921,8409,8904
1580388121,8410,8906
1580388722,8411,8907
1580389921,8417,8913
1580391121,8433,8929
1580391722,8434,8930
1580392321,8437,8934
1580392921,8441,8938
1580393521,8437,8931
1580394721,8436,8930
1580395921,8436,8930
1580396522,8439,8933
1580397121,8439,8933
1580397721,8445,8939
1580398322,8442,8936
1580398921,8447,8941
1580400121,8448,8939
1580401321,8446,8937
1580402522,8449,8940
1580404321,8454,8945
1580404921,8451,8942
1580406121,8459,8950
1580406721,8457,8948
1580407321,8463,8954
1580407921,8448,8939
1580408521,8449,8940
1580409722,8446,8936
1580410921,8410,8898
1580411521,8414,8903
1580412121,8410,8899
1580413321,8409,8898
1580414522,8412,8904
1580415121,8409,8901
1580415722,8412,8905
1580416921,8413,8903
1580417522,8420,8910
1580418121,8419,8909
1580419321,8413,8903
1580419921,8420,8910
1580420521,8428,8917
1580422321,8429,8918
1580422922,8431,8920
1580423522,8431,8919
1580424721,8442,8930
1580425321,8444,8932
1580426521,8450,8938
1580427122,8454,8942
1580427722,8455,8942
1580428921,8457,8946
1580430121,8451,8942
1580431321,8456,8949
1580431921,8451,8943
1580433122,8454,8946
1580433721,8463,8955
1580434922,8465,8957
1580436121,8450,8941
1580436721,8444,8935
1580437321,8447,8940
1580438521,8445,8938
1580439121,8453,8946
1580440321,8434,8927
1580440921,8441,8932
1580441521,8458,8950
1580442721,8454,8949
1580443921,8459,8955
1580444521,8457,8955
1580445721,8452,8951
1580446922,8457,8956
1580447521,8453,8950
1580448721,8465,8963
1580449321,8465,8963
1580450521,8468,8966
1580451121,8467,8966
1580451722,8468,8967
1580452921,8461,8962
1580454121,8460,8960
1580455321,8462,8960
1580456521,8450,8948
1580457721,8452,8951
1580458321,8456,8955
1580458922,8459,8959
1580460121,8462,8962
1580460721,8466,8966
