DateTime,AddedIPs,RemovedIPs
1580117521,80,80
1580118121,80,80
1580119321,80,80
1580120521,79,79
1580121721,80,80
1580122321,80,80
1580123521,80,80
1580124122,68,68
1580124722,80,80
1580125321,80,80
1580125921,80,80
1580126521,80,80
1580127122,80,80
1580128321,80,80
1580128921,80,80
1580129521,80,80
1580130121,80,80
1580131321,72,72
1580131921,80,80
1580133721,77,77
1580134322,80,80
1580135521,71,71
1580136121,79,79
1580136721,80,80
1580137321,80,80
1580137921,80,80
1580139121,80,80
1580139722,79,79
1580140921,79,79
1580142121,80,80
1580143321,80,80
1580144522,80,80
1580145121,80,80
1580145721,80,80
1580147521,80,80
1580148722,79,79
1580149321,80,80
1580150521,80,80
1580151721,74,74
1580152921,80,80
1580153521,80,80
1580154122,80,80
1580155321,80,80
1580156521,79,79
1580157721,80,80
1580158321,55,55
1580158922,80,80
1580160121,80,80
1580160722,80,80
1580161322,80,80
1580161921,80,80
1580162521,80,80
1580163121,80,80
1580163721,80,80
1580164922,64,64
1580166121,80,80
1580167321,80,80
1580167921,78,78
1580168522,80,80
1580169722,80,80
1580170921,80,80
1580172121,80,80
1580172721,80,80
1580174521,79,79
1580175721,80,80
1580176321,80,80
1580177521,78,78
1580178121,80,80
1580179321,80,80
1580180521,80,80
1580181121,80,80
1580181721,80,80
1580182921,80,80
1580183521,80,80
1580185322,80,80
1580186521,79,79
1580187121,80,80
1580188921,76,76
1580189521,80,80
1580190121,79,79
1580191321,80,80
1580192521,80,80
1580193721,80,80
1580194321,80,80
1580194922,80,80
1580196121,80,80
1580196722,80,80
1580197321,80,80
1580198521,64,64
1580199721,42,42
1580200921,80,80
1580202121,80,80
1580203321,27,27
1580203921,80,80
1580204521,80,80
1580205721,80,80
1580206322,80,80
1580206921,80,80
1580207521,80,80
1580208121,80,80
1580209321,80,80
1580209921,80,80
1580211122,80,80
1580212322,80,80
1580212921,80,80
1580213521,80,80
1580214121,80,80
1580215322,80,80
1580216522,80,80
1580217121,80,80
1580217722,80,80
1580218922,80,80
1580219522,80,80
1580220121,80,80
1580221321,80,80
1580221921,80,80
1580222522,80,80
1580223121,80,80
1580223721,80,80
1580225522,80,80
1580226121,80,80
1580227322,80,80
1580228521,80,80
1580229721,80,80
1580230322,80,80
1580231521,80,80
1580232121,79,79
1580233322,80,80
1580233921,78,78
1580234521,80,80
1580235121,79,79
1580236322,79,79
1580237521,74,74
1580238121,80,80
1580238721,80,80
1580239922,80,80
1580240521,80,80
1580241721,78,78
1580242321,79,79
1580242921,80,80
1580244121,80,80
1580244721,80,80
1580245321,78,78
1580245921,80,80
1580246521,80,80
1580247721,80,80
1580248321,80,80
1580249521,76,76
1580250121,80,80
1580251321,80,80
1580251921,80,80
1580252521,80,80
1580253721,80,80
1580254921,80,80
1580255521,80,80
1580256121,80,80
1580257321,80,80
1580258521,80,80
1580259721,80,80
1580260321,80,80
1580260921,80,80
1580262121,80,80
1580262721,80,80
1580263921,80,80
1580264521,46,46
1580265721,79,79
1580266921,80,80
1580267521,80,80
1580268121,80,80
1580268721,80,80
1580269322,80,80
1580270522,80,80
1580271122,80,80
1580272321,80,80
1580272922,80,80
1580273521,80,80
1580274122,80,80
1580274722,80,80
1580275921,80,80
1580276522,80,80
1580277121,80,80
1580277721,80,80
1580278921,80,80
1580280121,80,80
1580280721,80,80
1580281322,80,80
1580281921,80,80
1580282522,80,80
1580283722,80,80
1580284921,80,80
1580285521,80,80
1580286121,80,80
1580286721,80,80
1580287322,80,80
1580288521,80,80
1580289721,79,79
1580290321,19,19
1580291521,80,80
1580292121,80,80
1580292721,25,25
1580293922,80,80
1580295121,80,80
1580296321,80,80
1580297522,80,80
1580298721,80,80
1580299321,80,80
1580300521,80,80
1580301121,80,80
1580302321,79,79
1580302921,80,80
1580304122,75,75
1580304721,80,80
1580305321,79,79
1580306521,80,80
1580308321,71,71
1580308922,80,80
1580309521,80,80
1580310721,80,80
1580311321,80,80
1580311921,80,80
1580312522,80,80
1580313721,80,80
1580314921,80,80
1580315522,80,80
1580316121,80,80
1580317321,77,77
1580318522,80,80
1580319721,73,73
1580320321,80,80
1580321521,80,80
1580322121,80,80
1580323322,80,80
1580323921,80,80
1580324522,28,28
1580325121,35,35
1580325721,79,79
1580326321,80,80
1580326921,80,80
1580327521,80,80
1580328721,46,46
1580329322,80,80
1580330521,80,80
1580331721,80,80
1580332922,80,80
1580333522,79,79
1580334121,80,80
1580335321,80,80
1580336521,79,79
1580337121,80,80
1580337721,80,80
1580338921,80,80
1580339521,80,80
1580340121,80,80
1580340721,80,80
1580341921,80,80
1580342521,80,80
1580343721,57,57
1580344321,80,80
1580344921,80,80
1580346121,80,80
1580346721,80,80
1580347322,26,26
1580347922,80,80
1580348522,80,80
1580349121,80,80
1580350321,78,78
1580350921,80,80
1580352121,80,80
1580353321,79,79
1580354521,80,80
1580355122,80,80
1580355721,80,80
1580356921,80,80
1580357521,80,80
1580358721,80,80
1580359321,80,80
1580359922,67,67
1580361121,80,80
1580362321,79,79
1580362922,79,79
1580364122,80,80
1580364721,80,80
1580365321,80,80
1580366521,80,80
1580367721,80,80
1580368321,80,80
1580368921,65,65
1580369522,47,47
1580370121,79,79
1580371321,80,80
1580371921,80,80
1580372521,80,80
1580373122,80,80
1580374321,80,80
1580375521,80,80
1580376121,80,80
1580377322,80,80
1580377922,79,79
1580378521,80,80
1580379721,80,80
1580380921,80,80
1580381521,80,80
1580382121,80,80
1580383922,80,80
1580385121,80,80
1580385721,80,80
1580386321,80,80
1580386921,80,80
1580388121,79,79
1580388722,80,80
1580389921,80,80
1580391121,80,80
1580391722,78,78
1580392321,80,80
1580392921,80,80
1580393521,80,80
1580394721,72,72
1580395921,80,80
1580396522,80,80
1580397121,80,80
1580397721,75,75
1580398322,80,80
1580398921,80,80
1580400121,79,79
1580401321,80,80
1580401921,80,80
1580402522,80,80
1580404321,80,80
1580404921,80,80
1580406121,80,80
1580406721,80,80
1580407321,80,80
1580407921,80,80
1580408521,27,27
1580409722,80,80
1580410921,80,80
1580411521,79,79
1580412121,80,80
1580412722,80,80
1580413321,80,80
1580414522,80,80
1580415121,34,34
1580415722,80,80
1580416921,80,80
1580417522,80,80
1580418121,80,80
1580419321,80,80
1580419921,80,80
1580420521,80,80
1580422321,80,80
1580422922,80,80
1580423522,80,80
1580424721,73,73
1580425321,80,80
1580426521,80,80
1580427122,80,80
1580427722,80,80
1580428921,80,80
1580430121,71,71
1580431321,80,80
1580431921,80,80
1580433122,80,80
1580433721,79,79
1580434922,80,80
1580436121,80,80
1580436721,80,80
1580437321,80,80
1580438521,80,80
1580439121,79,79
1580440321,80,80
1580440921,80,80
1580441521,67,67
1580442721,79,79
1580443921,80,80
1580444521,80,80
1580445721,71,71
1580446922,80,80
1580447521,80,80
1580448721,77,77
1580449321,79,79
1580450521,80,80
1580451121,80,80
1580451722,80,80
1580452921,80,80
1580454121,77,77
1580455321,80,80
1580456521,80,80
1580457721,80,80
1580458321,80,80
1580458922,79,79
1580460121,79,79
1580460721,80,80
1580461922,80,80
1580462521,80,80
1580463122,80,80
1580463721,80,80
1580464322,80,80
1580464921,80,80
1580465521,80,80
1580466122,79,79
1580466721,80,80
1580467321,80,80
1580468522,80,80
1580469122,80,80
1580469722,80,80
1580470322,65,65
1580472121,58,58
1580473321,80,80
1580474521,73,73
1580475122,79,79
1580475722,80,80
1580476321,80,80
1580477521,80,80
1580478121,80,80
1580478722,79,79
1580479321,80,80
1580479921,79,79
1580481121,80,80
1580481721,80,80
1580482321,80,80
1580483521,80,80
1580484122,80,80
1580484721,80,80
1580485921,80,80
1580486522,80,80
1580487121,80,80
1580488922,80,80
1580490121,80,80
1580491321,75,75
1580491921,24,24
1580492521,80,80
1580493721,80,80
1580494921,80,80
1580496121,80,80
1580496721,79,79
1580497322,80,80
1580497922,80,80
1580498522,80,80
1580499721,80,80
1580500321,80,80
1580500922,80,80
1580502121,79,79
1580502721,80,80
1580503322,80,80
1580504521,80,80
1580505122,80,80
1580505721,80,80
1580506921,79,79
1580507521,80,80
1580508722,80,80
1580509922,80,80
1580511121,77,77
1580511721,76,76
1580512322,80,80
1580512921,80,80
1580514121,80,80
1580514721,80,80
1580516522,80,80
1580517721,80,80
1580518921,78,78
1580520121,80,80
1580521322,80,80
1580521921,80,80
1580522521,80,80
1580523121,80,80
1580523721,80,80
1580524921,78,78
1580526122,80,80
1580527321,79,79
1580527922,79,79
1580528521,80,80
1580529721,77,77
1580530921,78,78
1580531521,80,80
1580532721,80,80
1580533322,80,80
1580534521,80,80
1580535121,80,80
1580536322,80,80
1580537521,80,80
1580538122,80,80
1580539321,78,78
1580539921,80,80
1580541722,80,80
1580542922,80,80
1580543522,80,80
1580544122,80,80
1580544722,80,80
1580545321,80,80
1580546521,80,80
1580547721,80,80
1580548321,80,80
1580550121,80,80
1580551322,80,80
1580551922,80,80
1580552521,80,80
1580553721,80,80
1580554322,80,80
1580554921,80,80
1580556121,80,80
