DateTime,Entries,UniqueIPs
1580127721,2497,2535
1580128321,2503,2541
1580128921,2504,2543
1580130121,2505,2545
1580130721,2515,2555
1580131321,2516,2556
1580131921,2528,2568
1580132521,2522,2562
1580133721,2527,2567
1580134322,2531,2571
1580135521,2533,2573
1580136121,2540,2580
1580136721,2526,2566
1580137321,2536,2577
1580137921,2541,2582
1580138521,2532,2573
1580139121,2537,2578
1580140321,2532,2576
1580140921,2539,2585
1580141522,2546,2592
1580142121,2544,2589
1580142721,2551,2598
1580143321,2537,2579
1580144522,2537,2578
1580145121,2546,2588
1580145721,2546,2588
1580146321,2550,2593
1580146921,2542,2586
1580147521,2547,2591
1580148121,2560,2605
1580148722,2561,2606
1580149921,2562,2607
1580150521,2564,2609
1580151721,2569,2615
1580152321,2561,2607
1580152921,2566,2612
1580153521,2557,2605
1580154122,2578,2626
1580154721,2571,2619
1580155321,2574,2624
1580157121,2572,2622
1580157721,2575,2625
1580158321,2584,2634
1580158922,2585,2635
1580159521,2586,2637
1580160121,2590,2641
1580160722,2587,2637
1580161322,2579,2626
1580161921,2577,2623
1580162521,2566,2612
1580163721,2573,2619
1580164922,2569,2618
1580166121,2562,2614
1580166721,2566,2618
1580167321,2571,2623
1580167921,2564,2616
1580168521,2544,2595
1580169122,2545,2597
1580170921,2547,2600
1580171521,2557,2610
1580172121,2560,2613
1580173321,2559,2611
1580174521,2565,2617
1580175121,2562,2614
1580176321,2561,2613
1580176921,2559,2611
1580178121,2564,2616
1580178721,2551,2602
1580179321,2547,2598
1580180521,2558,2609
1580181121,2550,2601
1580182321,2545,2595
1580182921,2547,2594
1580184121,2555,2600
1580184722,2556,2601
1580185921,2557,2602
1580186521,2559,2604
1580187721,2547,2590
1580188921,2551,2594
1580190121,2552,2596
1580190721,2555,2599
1580192521,2554,2597
1580193721,2537,2580
1580194922,2550,2593
1580195521,2551,2595
1580196121,2541,2585
1580196722,2550,2594
1580197321,2544,2588
1580198521,2537,2580
1580199721,2549,2593
1580200921,2540,2580
1580201521,2536,2576
1580202721,2546,2586
1580203321,2534,2574
1580205121,2527,2566
1580205721,2517,2556
1580206321,2520,2559
1580207521,2512,2552
1580208721,2510,2549
1580209921,2510,2549
1580210521,2509,2548
1580211721,2502,2541
1580212322,2507,2546
1580212921,2490,2529
1580213521,2493,2533
1580214121,2485,2525
1580214721,2471,2509
1580215322,2472,2510
1580215922,2463,2501
1580216522,2466,2505
1580217121,2452,2489
1580217722,2449,2486
1580218922,2443,2479
1580219521,2427,2463
1580220121,2420,2456
1580220721,2422,2458
1580221321,2420,2456
1580221921,2425,2461
1580222522,2430,2466
1580223721,2430,2464
1580224321,2428,2461
1580225522,2418,2451
