DateTime,AddedIPs,RemovedIPs
1580033521,2,1
1580034121,1,2
1580035321,0,1
1580035921,1,1
1580036521,1,0
1580037721,1,0
1580038322,4,1
1580040121,6,1
1580040722,0,1
1580041921,0,1
1580043122,0,1
1580043721,1,0
1580046121,0,1
1580047921,1,0
1580048521,1,3
1580049721,0,3
1580050321,2,0
1580051521,6,2
1580052121,1,4
1580053322,1,1
1580055721,1,1
1580056321,1,1
1580056921,1,6
1580057521,1,0
1580058721,4,0
1580059322,1,4
1580061122,1,0
1580062321,3,4
1580064121,4,2
1580065321,2,5
1580065921,1,0
1580066522,1,3
1580067721,1,1
1580068321,1,1
1580070721,1,3
1580071921,3,5
1580072521,1,4
1580073721,3,0
1580074321,1,0
1580074921,1,1
1580075521,0,2
1580076121,6,0
1580077322,1,2
1580077921,2,2
1580079122,0,2
1580079721,0,1
1580080921,1,4
1580081521,2,7
1580082121,1,0
1580083322,3,5
1580084521,0,3
1580085121,1,0
1580086322,0,4
1580088121,1,2
1580088721,0,11
1580089321,0,2
1580089921,2,0
1580090521,1,1
1580091722,1,7
1580092322,4,0
1580094121,3,5
1580095321,0,3
1580095921,1,0
1580097121,0,6
1580097721,1,2
1580098921,3,5
1580100122,1,10
1580101321,0,2
1580102521,3,11
1580103721,4,9
1580104921,1,7
1580105521,0,4
1580106721,2,5
1580107922,1,3
1580109121,0,4
1580109721,0,2
1580110321,0,2
1580110921,2,0
1580111521,1,3
1580112721,0,3
1580114522,0,5
1580115721,0,15
1580116921,3,0
1580117521,0,4
1580118721,1,0
1580119321,3,6
1580121721,12,5
1580122921,1,1
1580123521,0,2
1580124722,0,2
1580125321,1,0
1580127122,1,0
1580128321,2,0
1580130121,0,1
1580130721,2,0
1580132521,1,0
1580133721,2,0
1580135521,2,0
1580136121,0,1
1580137321,2,0
1580137921,0,3
1580138521,2,0
1580140321,1,5
1580141522,1,1
1580142121,0,1
1580142721,3,0
1580144522,1,1
1580145121,3,0
1580146921,1,0
1580148121,7,0
1580148722,0,1
1580149921,0,1
1580151721,3,0
1580152321,1,0
1580152921,2,0
1580153521,1,0
1580154122,18,4
1580155321,1,0
1580157121,2,4
1580158922,3,1
1580159521,0,1
1580160722,2,2
1580161322,7,0
1580163721,2,1
1580164922,2,2
1580166121,1,3
1580166721,1,0
1580167321,2,1
1580167921,0,1
1580168521,1,0
1580169122,1,4
1580170921,1,0
1580171521,11,1
1580172121,3,1
1580173321,3,3
1580176921,0,3
1580178721,0,1
1580179321,0,3
1580180521,1,0
1580181121,1,2
1580182321,1,2
1580182921,9,2
1580184121,7,0
1580184722,0,1
1580185921,3,1
1580187721,5,4
1580188921,1,0
1580190121,1,1
1580190721,0,4
1580192521,0,2
1580193721,0,3
1580194922,8,2
1580196121,1,1
1580196722,1,0
1580197321,1,0
1580198521,1,7
1580199721,3,0
1580200921,1,3
1580203321,0,2
1580206321,2,0
1580207521,4,4
1580208721,8,5
1580209921,2,1
1580211721,0,2
1580212322,0,1
1580212921,0,2
1580213521,1,2
1580214721,1,1
1580215922,0,1
1580217121,1,0
1580218922,1,3
1580219521,0,2
1580220721,2,0
1580222522,0,2
1580223721,3,1
1580225522,1,1
1580226121,4,1
1580226721,0,2
1580227321,2,0
1580229721,0,2
1580230921,1,1
1580232121,0,2
1580233322,0,1
1580233921,1,0
1580234521,0,1
1580235121,2,0
1580236322,3,0
1580237521,2,2
1580238721,1,0
1580239322,1,0
1580239922,1,0
1580241121,2,5
1580243521,1,0
1580244121,1,0
1580245321,0,1
1580246521,2,0
1580247721,0,3
1580248921,0,1
1580249521,1,0
1580250121,0,8
1580251321,0,1
1580251921,1,1
1580254321,3,2
1580254921,1,0
1580255521,0,4
1580256722,0,2
1580257321,0,5
1580258521,0,1
1580259721,5,1
1580260321,1,3
1580261521,2,1
1580263321,0,6
1580265721,2,0
1580266321,0,1
1580267521,1,0
1580268121,0,2
1580269322,1,3
1580270521,12,0
1580271121,4,3
1580271721,1,3
1580272321,1,0
1580273521,3,2
1580274122,0,5
1580275322,3,1
1580276522,2,0
1580277721,0,5
1580278921,3,0
1580280121,1,3
1580281921,2,3
1580282522,5,1
1580283722,1,0
1580284322,2,2
1580285521,24,0
1580286121,3,1
1580287322,2,0
1580288521,0,2
1580289721,3,6
1580290922,1,1
1580292121,1,6
1580293321,1,0
1580293922,4,0
1580295121,1,0
1580295721,2,1
1580296321,1,0
1580296922,1,3
1580298121,2,0
1580299321,6,4
1580299921,1,0
1580301121,2,0
1580302321,1,8
1580302921,3,0
1580304122,1,1
1580304721,0,1
1580305921,0,2
1580306521,0,1
1580307721,1,2
1580308922,0,1
1580309521,3,0
1580310121,2,0
1580311321,4,1
1580313121,2,3
1580313721,2,0
1580314321,0,2
1580315522,3,3
1580316121,1,0
1580317321,0,2
1580318522,1,0
1580319122,1,2
1580319721,2,0
1580321521,12,1
1580322721,7,2
1580323921,2,2
1580324521,1,0
1580325721,2,2
1580326921,1,6
1580327521,1,1
1580328721,0,5
1580329921,2,0
1580330521,1,2
1580331721,1,1
1580332922,3,1
1580333521,10,0
1580334721,1,1
1580335321,19,3
1580336521,3,5
1580337121,5,2
1580337721,11,0
1580338921,2,3
1580339521,13,2
1580340121,4,0
1580340721,0,2
1580341321,2,0
1580342521,4,2
1580343721,10,0
1580344321,0,1
1580344921,10,0
1580346121,9,0
1580347322,1,3
1580348521,1,2
1580349722,3,1
1580350921,8,0
1580352121,2,2
1580353321,4,1
1580354521,1,1
1580355121,1,0
1580355721,1,0
1580356921,14,1
1580358121,1,1
1580358721,1,0
1580359321,1,32
1580360522,39,0
1580361721,1,7
1580362321,1,4
1580363521,5,0
1580364721,2,2
1580365321,3,4
1580366521,5,0
1580367721,1,5
1580368921,5,0
1580370121,3,0
1580371321,4,2
1580372521,3,2
1580373121,1,0
1580374321,3,10
1580374922,1,3
