DateTime,AddedIPs,RemovedIPs
1580133721,95,95
1580134322,62,62
1580134921,13,13
1580135521,64,64
1580136121,61,61
1580136721,32,32
1580137321,60,60
1580137921,52,52
1580138521,53,53
1580139121,36,36
1580140321,97,97
1580140921,51,51
1580141522,60,60
1580142121,43,43
1580142721,58,58
1580143321,39,39
1580144522,82,82
1580145121,78,78
1580145721,69,69
1580146321,34,34
1580146921,75,75
1580147521,63,63
1580148121,73,73
1580148722,24,24
1580149921,97,97
1580150521,67,67
1580151721,94,94
1580152321,64,64
1580152921,42,42
1580153521,57,57
1580154122,84,84
1580154721,37,37
1580155321,65,65
1580157121,97,97
1580157721,78,78
1580158321,72,72
1580158922,18,18
1580159521,82,82
1580160121,44,44
1580160722,53,53
1580161322,39,39
1580161921,85,85
1580162521,52,52
1580163721,100,100
1580164922,97,97
1580166121,80,80
1580166721,57,57
1580167321,58,58
1580167921,44,44
1580168521,31,31
1580169122,15,15
1580170921,94,94
1580171521,42,42
1580172121,21,21
1580173321,86,86
1580174521,48,48
1580175121,14,14
1580176321,41,41
1580176921,27,27
1580178121,94,94
1580178721,47,47
1580179321,46,46
1580180521,77,77
1580181121,62,62
1580181721,20,20
1580182321,36,36
1580182921,45,45
1580184121,93,93
1580184722,22,22
1580185921,33,33
1580186521,30,30
1580187721,87,87
1580188921,75,75
1580190121,97,97
1580190721,65,65
1580192521,61,61
1580193721,48,48
1580194922,94,94
1580195521,24,24
1580196121,20,20
1580196722,74,74
1580197321,51,51
1580198521,94,94
1580199721,92,92
1580200921,61,61
1580201521,44,44
1580202721,82,82
1580203321,40,40
1580205121,97,97
1580205721,19,19
1580206321,74,74
1580207521,78,78
1580208721,73,73
1580209921,98,98
1580210521,63,63
1580211721,88,88
1580212322,45,45
1580212921,35,35
1580213521,53,53
1580214121,35,35
1580214721,64,64
1580215322,28,28
1580215922,36,36
1580216522,37,37
1580217121,20,20
1580217722,16,16
1580218922,51,51
1580219521,11,11
1580220121,5,5
1580220721,23,23
1580221321,51,51
1580221921,35,35
1580222522,46,46
1580223721,49,49
1580224321,30,30
1580225522,93,93
1580226121,67,67
1580226721,34,34
1580227321,64,64
1580228521,96,96
1580229122,90,90
1580229721,7,7
1580230921,90,90
1580232121,79,79
1580233322,84,84
1580233921,30,30
1580234521,50,50
1580235121,75,75
1580236322,85,85
1580236922,57,57
1580237521,44,44
1580238721,94,94
1580239322,63,63
1580239922,46,46
1580240521,9,9
1580241121,81,81
1580242321,87,87
1580242921,51,51
1580243521,42,42
1580244121,55,55
1580245321,100,100
1580246521,94,94
1580247121,16,16
1580247721,53,53
1580248921,66,66
1580249521,66,66
1580250121,64,64
1580250721,27,27
1580251321,59,59
1580251921,69,69
1580253122,86,86
1580254321,94,94
1580254921,57,57
1580255521,50,50
1580256121,44,44
1580256722,29,29
1580257321,32,32
1580258521,54,54
1580259721,72,72
1580260321,20,20
1580261521,100,100
1580262121,31,31
1580263321,100,100
1580263921,71,71
1580265121,48,48
1580265721,66,66
1580266321,27,27
1580267521,91,91
1580268121,34,34
1580269322,97,97
1580270521,98,98
1580271121,83,83
1580271721,70,70
1580272321,81,81
1580273521,95,95
1580274122,30,30
1580275322,97,97
1580276522,91,91
1580277721,93,93
1580278921,99,99
1580280121,67,67
1580281322,75,75
1580281921,47,47
1580282522,45,45
1580283722,93,93
1580284322,61,61
1580285521,100,100
1580286121,74,74
1580287322,98,98
1580288521,95,95
1580289721,98,98
1580290922,99,99
1580291521,77,77
1580292121,71,71
1580293321,100,100
1580293922,64,64
1580295121,99,99
1580295721,29,29
1580296321,45,45
1580296922,79,79
1580298121,86,86
1580299321,68,68
1580299921,57,57
1580301121,70,70
1580302321,98,98
1580302921,88,88
1580303521,28,28
1580304122,32,32
1580304721,60,60
1580305321,66,66
1580305921,37,37
1580306521,59,59
1580307721,96,96
1580308321,52,52
1580308922,29,29
1580309521,51,51
1580310121,43,43
1580310721,54,54
1580311321,80,80
1580311921,42,42
1580313121,96,96
1580313721,64,64
1580314321,56,56
1580315522,72,72
1580316121,67,67
1580317321,84,84
1580318522,81,81
1580319122,54,54
1580319721,54,54
1580320921,97,97
1580321521,68,68
1580322721,57,57
1580323921,99,99
1580324521,68,68
1580325721,51,51
1580326921,97,97
1580327521,56,56
1580328721,51,51
1580329921,96,96
1580330521,72,72
1580331721,78,78
1580332922,96,96
1580333521,67,67
1580334721,100,100
1580335321,72,72
1580336521,99,99
1580337121,69,69
1580337721,23,23
1580338921,95,95
1580339521,68,68
1580340121,69,69
1580340721,16,16
1580341321,77,77
1580342521,99,99
1580343721,89,89
1580344321,16,16
1580344921,75,75
1580346121,94,94
1580347322,39,39
1580348521,28,28
1580349722,89,89
1580350921,98,98
1580352121,94,94
1580353321,97,97
1580354521,51,51
1580355121,60,60
1580355721,17,17
1580356921,97,97
1580358121,82,82
1580358721,32,32
1580359321,14,14
1580360522,94,94
1580361721,82,82
1580362321,67,67
1580363521,88,88
1580364721,97,97
1580365321,74,74
1580366521,97,97
1580367721,100,100
1580368921,88,88
1580370121,91,91
1580371321,99,99
1580372521,84,84
1580373121,62,62
1580374321,99,99
1580374922,58,58
1580375521,39,39
1580376121,47,47
1580377322,51,51
1580377921,35,35
1580378521,18,18
1580379721,74,74
1580380321,72,72
1580380921,61,61
1580382121,52,52
1580382721,62,62
1580383322,72,72
1580383922,73,73
1580385121,90,90
1580385721,64,64
1580386321,65,65
1580386921,72,72
1580387521,71,71
1580388721,92,92
1580389321,48,48
1580389921,71,71
1580390521,63,63
1580391121,67,67
1580391722,43,43
1580392921,98,98
1580394122,61,61
1580394721,51,51
1580395321,47,47
1580396522,78,78
1580397121,63,63
1580397721,56,56
1580398322,67,67
1580398921,67,67
1580400121,91,91
1580401321,98,98
1580402522,95,95
1580404321,99,99
1580404921,68,68
1580405521,56,56
1580406721,96,96
1580407321,71,71
1580407921,70,70
1580408521,58,58
1580409121,74,74
1580409722,71,71
1580410921,100,100
1580412121,100,100
1580412722,56,56
1580413321,29,29
1580414522,74,74
1580415121,66,66
1580415721,78,78
1580416921,80,80
1580417521,75,75
1580418121,44,44
1580419921,99,99
1580420521,77,77
1580422321,99,99
1580422922,61,61
1580423522,58,58
1580424721,99,99
1580425321,67,67
1580425921,59,59
1580427122,95,95
1580427721,70,70
1580428321,31,31
1580430121,99,99
1580430721,47,47
1580431921,96,96
1580432521,63,63
1580433122,66,66
1580433721,71,71
1580434322,74,74
1580435521,83,83
1580436121,54,54
1580436721,60,60
1580437921,99,99
1580438521,61,61
1580439722,91,91
1580440321,39,39
1580440921,63,63
1580442121,93,93
1580443322,96,96
1580443921,25,25
1580444521,68,68
1580445721,94,94
1580446922,98,98
1580448121,99,99
1580448721,60,60
1580449921,93,93
1580450521,56,56
1580451722,90,90
1580452322,73,73
1580454121,100,100
1580455321,88,88
1580456521,86,86
1580457721,97,97
1580458321,64,64
1580458922,86,86
1580460121,99,99
1580460721,63,63
1580461922,93,93
1580462521,25,25
1580463721,99,99
1580464321,49,49
1580465521,93,93
1580466122,4,4
1580466721,19,19
1580467921,97,97
1580468522,47,47
1580469122,42,42
1580469722,43,43
1580470322,50,50
1580470921,42,42
1580472121,93,93
1580472721,39,39
1580473321,26,26
1580473922,75,75
1580474521,27,27
1580475121,55,55
1580475722,84,84
1580476321,38,38
1580477521,81,81
1580478121,49,49
1580479321,57,57
1580479921,59,59
1580481121,45,45
1580481721,65,65
1580482321,53,53
1580482921,90,90
1580483521,18,18
1580484122,44,44
1580484721,74,74
1580485321,24,24
1580485921,61,61
1580486522,18,18
1580487121,33,33
1580487721,78,78
1580488321,35,35
1580489521,97,97
1580490121,16,16
1580490721,65,65
1580491321,57,57
1580491921,71,71
1580492521,22,22
1580493721,97,97
1580494921,73,73
1580496121,95,95
1580497322,100,100
1580497922,77,77
1580498522,78,78
1580499721,96,96
1580500922,98,98
1580502121,94,94
1580502721,69,69
1580503322,40,40
1580504521,73,73
1580505122,49,49
1580505721,29,29
1580506322,50,50
1580507521,91,91
1580508121,73,73
1580509321,98,98
1580509922,23,23
1580510522,18,18
1580511721,96,96
1580512921,97,97
1580513521,69,69
1580514121,65,65
1580515321,97,97
1580516522,100,100
1580517121,76,76
1580517721,71,71
1580518321,71,71
1580520121,99,99
1580521322,83,83
1580521921,83,83
1580522521,67,67
1580523721,97,97
1580524921,96,96
1580526122,72,72
1580526721,67,67
1580527922,100,100
1580528521,74,74
1580529721,87,87
1580530321,32,32
1580531521,97,97
1580532121,16,16
1580532721,71,71
1580533921,98,98
1580534521,67,67
1580535722,100,100
1580537521,92,92
1580538122,64,64
1580539321,100,100
1580540521,74,74
1580541722,99,99
1580542921,98,98
1580543522,53,53
1580544122,50,50
1580545321,94,94
1580546521,100,100
1580547121,82,82
1580547721,79,79
1580548921,93,93
1580550121,100,100
1580550722,60,60
1580551322,44,44
