DateTime,Entries,UniqueIPs
1577768578,889,1058
1577772179,887,1056
1577775780,888,1057
1577779380,888,1057
1577782982,886,1055
1577786578,895,1067
1577790179,895,1066
1577797380,894,1064
1577800980,895,1065
1577808179,890,1060
1577811779,891,1061
1577815380,890,1060
1577818979,890,1060
1577822579,892,1062
1577826179,890,1060
1577829779,889,1059
1577833380,890,1060
1577836980,887,1057
1577840579,887,1057
1577844180,897,1067
1577847779,897,1067
1577854981,895,1065
1577862180,890,1058
1577865781,889,1057
1577869381,891,1059
1577876582,891,1059
1577880182,889,1057
1577883780,890,1058
1577890980,889,1057
1577894702,888,1056
1577901781,888,1056
1577905382,889,1057
1577908981,891,1059
1577912582,897,1067
1577916180,899,1069
1577919782,898,1068
1577923382,901,1071
1577926982,901,1071
1577934182,902,1072
1577937781,901,1071
1577941382,902,1072
1577945042,903,1073
1577948582,901,1071
1577952182,902,1072
1577959382,901,1071
1577963049,899,1069
1577977381,898,1068
1577980982,898,1068
1577984584,897,1067
1577988182,895,1065
1577991782,891,1061
1577995382,892,1062
1577998983,893,1063
1578002583,892,1062
1578006183,892,1062
1578009782,893,1063
1578013382,897,1067
1578020583,899,1069
1578024182,899,1069
1578027783,900,1070
1578031382,897,1067
1578034984,898,1068
1578038585,905,1075
1578042184,908,1078
1578052982,907,1077
1578056583,907,1077
1578063783,908,1078
1578070983,909,1079
1578074583,910,1080
1578078184,908,1078
1578085324,907,1077
1578088923,906,1076
1578092584,907,1077
1578096183,907,1077
1578098823,908,1078
1578103383,909,1079
1578106984,908,1078
1578114184,903,1073
1578117784,907,1081
1578121386,906,1080
1578124984,903,1077
1578128584,904,1078
1578139385,903,1077
1578142984,904,1078
1578146584,896,1070
1578153784,896,1070
1578157384,895,1069
1578164585,897,1071
1578168185,895,1069
1578175386,894,1068
1578182586,889,1063
1578189784,886,1060
1578196985,888,1062
1578200585,888,1062
1578204186,889,1063
1578207785,889,1063
1578214985,883,1057
1578218525,885,1059
1578222185,885,1059
1578225785,882,1056
1578236585,879,1053
1578240185,879,1053
1578243785,881,1055
1578247385,882,1056
1578250986,881,1055
1578254585,883,1057
1578258186,882,1056
1578261786,879,1052
1578265386,882,1055
1578268926,883,1056
1578272586,881,1054
1578276186,880,1053
1578279786,875,1047
1578283386,879,1051
1578286986,877,1049
1578290526,878,1050
1578294186,877,1049
1578297786,876,1048
1578301326,874,1046
1578304986,874,1046
1578308586,877,1049
1578312186,875,1047
1578322987,874,1046
1578326587,874,1046
1578330186,873,1045
1578333787,875,1047
1578334599,960,1175
