DateTime,Entries,UniqueIPs
1577995382,1048,1048
1577998983,1047,1047
1578006183,1047,1047
1578009782,1047,1047
1578013382,1051,1051
1578020583,1053,1053
1578024182,1054,1054
1578027783,1050,1050
1578031382,1048,1048
1578034984,1048,1048
1578038585,1055,1055
1578042184,1054,1054
1578049383,1053,1053
1578052982,1054,1054
1578056583,1054,1054
1578063783,1048,1048
1578067383,1042,1042
1578070983,1042,1042
1578074583,1047,1047
1578085324,1046,1046
1578088923,1045,1045
1578092584,1046,1046
1578096183,1044,1044
1578098823,1044,1044
1578103383,1044,1044
1578106984,1042,1042
1578114184,1041,1041
1578117784,1049,1049
1578121386,1050,1050
1578124984,1049,1049
1578128584,1043,1043
1578132185,1042,1042
1578135786,1041,1041
1578139385,1038,1038
1578142984,1040,1040
1578153784,1038,1038
1578157384,1037,1037
1578164585,1038,1038
1578168185,1037,1037
1578175386,1035,1035
1578178985,1031,1031
1578182586,1034,1034
1578186185,1032,1032
1578189784,1031,1031
1578193385,1026,1026
1578196985,1027,1027
1578200585,1026,1026
1578204186,1026,1026
1578207785,1026,1026
1578211385,1023,1023
1578214985,1022,1022
1578218525,1023,1023
1578222185,1024,1024
1578225785,1021,1021
1578229385,1022,1022
1578236585,1021,1021
1578240185,1021,1021
1578243785,1022,1022
1578247385,1023,1023
1578254585,1024,1024
1578258186,1023,1023
1578265386,1023,1023
1578268926,1023,1023
1578283386,1025,1025
1578286986,1025,1025
1578290526,1027,1027
1578294186,1027,1027
1578297786,1027,1027
1578301326,1027,1027
1578304986,1028,1028
1578308586,1030,1030
1578322987,1029,1029
1578326587,1029,1029
1578333787,1029,1029
1578334599,1157,1157
1578337387,1241,1241
1578340987,1275,1275
1578344587,1276,1276
1578348187,1279,1279
1578351787,1275,1275
1578355387,1274,1274
1578358987,1275,1275
1578362587,1274,1274
1578366187,1272,1272
1578373387,1267,1267
1578376987,1263,1263
1578384188,1245,1245
1578387787,1244,1244
1578391327,1245,1245
1578394987,1246,1246
1578402187,1243,1243
1578405787,1241,1241
1578412928,1239,1239
1578420188,1089,1089
1578423788,1056,1056
1578430928,1057,1057
1578438128,1058,1058
1578441788,1056,1056
1578445388,1055,1055
1578448988,1057,1057
1578452588,1058,1058
1578456188,1059,1059
1578459788,1058,1058
1578463388,1059,1059
1578466988,1059,1059
1578470588,1059,1059
1578477789,1059,1059
1578481089,1060,1060
1578492130,1061,1061
1578495790,1061,1061
1578499389,1062,1062
1578502990,1061,1061
1578506590,1061,1061
1578510189,1067,1067
1578520929,1068,1068
1578528189,1068,1068
1578535389,1071,1071
1578542590,1067,1067
1578546131,1066,1066
1578549790,1065,1065
1578553389,1064,1064
1578556929,1063,1063
1578560590,1062,1062
1578564191,1063,1063
1578567730,1064,1064
1578571330,1065,1065
1578574931,1064,1064
1578578591,1065,1065
1578582190,1067,1067
1578585790,1065,1065
1578589390,1064,1064
1578596591,1066,1066
1578600191,1069,1069
1578610991,1070,1070
1578614592,1070,1070
1578625391,1069,1069
1578628991,1068,1068
1578632593,1068,1068
1578636191,1068,1068
1578643331,1066,1066
1578650592,1064,1064
1578661392,1064,1064
1578664931,1066,1066
1578668591,1063,1063
1578672191,1064,1064
1578675851,1065,1065
1578679331,1066,1066
1578683364,1072,1072
1578686544,1072,1072
1578690203,1071,1071
1578693744,1071,1071
1578697403,1068,1068
1578701004,1007,1007
1578704544,1007,1007
1578711743,1009,1009
1578719005,1008,1008
1578722544,1007,1007
1578726204,1006,1006
1578733404,1006,1006
1578737004,1007,1007
1578740545,1007,1007
1578744145,1006,1006
1578751344,1008,1008
