DateTime,AddedIPs,RemovedIPs
1530153181,9,11
1530156781,12,12
1530160381,10,9
1530163981,7,9
1530167582,12,11
1530171181,8,6
1530174781,5,6
1530178381,6,5
1530181981,8,9
1530185581,12,13
1530189181,12,11
1530192782,5,8
1530196381,9,7
1530199981,10,7
1530203582,9,12
1530207181,8,10
1530210781,9,6
1530214381,8,7
1530217981,9,9
1530221582,15,15
1530225633,12,12
1530228782,9,8
1530232381,7,8
1530235981,5,7
1530239581,3,3
1530243181,7,6
1530246781,14,13
1530250381,7,7
1530253981,7,8
1530257581,10,9
1530261181,10,13
1530264782,9,8
1530268381,9,10
1530271981,12,11
1530275581,12,12
1530279181,9,8
1530282781,16,16
1530286381,8,8
1530289981,9,9
1530293581,4,4
1530297181,15,14
1530300781,7,6
1530304381,8,8
1530307981,7,9
1530315182,10,10
1530318781,15,14
1530322381,6,7
1530325981,6,7
1530329581,11,9
1530333181,7,7
1530336781,8,10
1530340381,5,5
1530343981,9,9
1530347581,8,7
1530351181,4,4
1530354781,12,14
1530358381,5,5
1530361981,9,8
1530365581,7,6
1530369181,7,7
1530372781,5,6
1530376381,11,11
1530379981,7,8
1530383581,7,6
1530387181,6,6
1530390781,12,12
1530394381,11,10
1530397981,8,7
1530401581,15,18
1530405181,5,4
1530415981,15,14
1530419581,6,6
1530423181,5,6
1530426781,7,7
1530433981,9,9
1530437581,7,7
1530441181,10,10
1530444781,15,15
1530448381,6,5
1530451981,8,7
1530455581,11,12
1530459181,12,12
1530462781,7,6
1530466381,7,6
1530469981,7,9
1530473581,5,5
1530477181,11,10
1530480781,8,8
1530484381,5,5
1530487981,7,8
1530491581,9,8
1530495181,10,10
1530502381,15,15
1530505981,8,7
1530509581,3,5
1530513182,5,4
1530520381,12,12
1530523981,12,13
1530527582,5,4
1530531181,4,4
1530534781,4,5
1530541981,10,9
1530545581,13,13
1530549181,11,11
1530552781,6,7
1530559981,13,10
1530563581,11,10
1530567181,4,4
1530570781,3,5
1530574381,3,3
